,Index,Name,DisplayName,PostalCode,GoogleMapsUri
108,149,places/ChIJ2zDAZMwLkkYRbNCuF-WgIL0,Vanha Ylioppilastalo,00100,https://maps.google.com/?cid=13628069378228408428
109,150,places/ChIJscAsb8wLkkYRjLPWpk-Lx6I,Pizza Hut Citykäytävä,00100,https://maps.google.com/?cid=11729496928727511948
110,154,places/ChIJ17j2-ssLkkYRQ8RyldI_0b4,Pupu Stockmann,00100,https://maps.google.com/?cid=13749841311021843523
111,155,places/ChIJ61yHuhYJkkYRBXlw5g7bCbs,Myöhä,00270,https://maps.google.com/?cid=13477544216925075717
112,156,places/ChIJNXQF3twLkkYRbHU36pngeIo,Elias DÖner Kebab city Center,00101,https://maps.google.com/?cid=9977971926103455084
113,157,places/ChIJDy9DQMwLkkYRz4tFdJq_y9k,Stone's,00100,https://maps.google.com/?cid=15693847996599208911
114,158,places/ChIJTW1hWtkLkkYRTqO45weVjSI,Apollo Sports Bar & Kitchen,00101,https://maps.google.com/?cid=2489810030190699342
115,159,places/ChIJR1kv_IsLkkYRzlsrrViXT2Q,McDonald's Helsinki Forum Katutaso,00100,https://maps.google.com/?cid=7228162334071151566
116,160,places/ChIJc8HtabYLkkYRyzbyaSyK7ks,Makaronitehdas,00100,https://maps.google.com/?cid=5471462520662406859
117,161,places/ChIJsQzMDDQKkkYR4K08FlBEaqU,Classic Pizza Restaurant,00100,https://maps.google.com/?cid=11919414474550586848
118,162,places/ChIJTcG9mTQKkkYRr5SwChnUOKE,Pizza Hut Forum,00100,https://maps.google.com/?cid=11617268442820809903
119,163,places/ChIJ4a-llMwLkkYR9c4AERNi7O0,Suburritos,00100,https://maps.google.com/?cid=17144185715521801973
120,164,places/ChIJBwaaMQALkkYRpag5SYHQvLA,Just Vege,00100,https://maps.google.com/?cid=12735283099994794149
121,166,places/ChIJiZO3fcwLkkYRT6Jm5hUt1i4,Ônam Forum,00100,https://maps.google.com/?cid=3374934542843814479
122,168,places/ChIJcSlVAycLkkYREqU46_cRwSo,Flamingo Bowl,00100,https://maps.google.com/?cid=3080763376599082258
123,169,places/ChIJn9O07zsLkkYROJOQ3ZYgTl4,Leaf Restaurant,00100,https://maps.google.com/?cid=6795404720083079992
124,170,places/ChIJz3AYm8wLkkYRQRoed6JjkTw,Hanko Sushi,00100,https://maps.google.com/?cid=4364379063333034561
125,172,places/ChIJxeIplMwLkkYRMyg6_EX_n6E,Manhattan Fast Food Oy,00100,https://maps.google.com/?cid=11646307837452888115
126,174,places/ChIJ4a-llMwLkkYRIH3b8Es3cxE,Amos Anderson Glaspalatset Ab,00100,https://maps.google.com/?cid=1257409520269491488
127,175,places/ChIJHXAPk8wLkkYRl1zectLkLlU,McDonald's Helsinki Forum Basement,00100,https://maps.google.com/?cid=6138094934674005143
128,177,places/ChIJldEWRmcLkkYRC_nAjTqIwlY,plants by us,00100,https://maps.google.com/?cid=6251709017811384587
129,178,places/ChIJJ4mkl_YLkkYR3cMhDSZa4pw,Amos Café,00100,https://maps.google.com/?cid=11304697134128939997
130,181,places/ChIJl7rPLGMLkkYRNsd4RUkTmQc,AnnanPippuri,00100,https://maps.google.com/?cid=547490035121309494
131,182,places/ChIJo7w3Q8sLkkYRbEKWcOmPbj8,Sky Express,00100,https://maps.google.com/?cid=4570748904606679660
132,185,places/ChIJh2sdpswLkkYRbileQbzOyRY,Ravintola Más Helsinki,00100,https://maps.google.com/?cid=1642070847099119982
133,188,places/ChIJ_6MAm8wLkkYR4HT6XiJYBF4,Picnic Forum Kukontori,00100,https://maps.google.com/?cid=6774636644117673184
